buoy_fulll,region,buoy_id,location_approx,location_full
"42012 - ORANGE BEACH - 44 NM SE of Mobile, AL",GULF OF MEXICO,42012,ORANGE BEACH,"ORANGE BEACH - 44 NM SE of Mobile, AL"
42015,GULF OF MEXICO,42015,,
42016,GULF OF MEXICO,42016,,
42017,GULF OF MEXICO,42017,,
42018,GULF OF MEXICO,42018,,
"42019 - FREEPORT, TX - 60 NM South of Freeport, TX",GULF OF MEXICO,42019,"FREEPORT, TX","FREEPORT, TX - 60 NM South of Freeport, TX"
"42020 - CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX",GULF OF MEXICO,42020,"CORPUS CHRISTI, TX","CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX"
42025,GULF OF MEXICO,42025,,
"42035 - GALVESTON,TX - 22 NM East of Galveston, TX",GULF OF MEXICO,42035,"GALVESTON,TX","GALVESTON,TX - 22 NM East of Galveston, TX"
"42036 - WEST TAMPA - 112 NM WNW of Tampa, FL",GULF OF MEXICO,42036,WEST TAMPA,"WEST TAMPA - 112 NM WNW of Tampa, FL"
42037,GULF OF MEXICO,42037,,
"42039 - PENSACOLA - 115NM SSE of Pensacola, FL",GULF OF MEXICO,42039,PENSACOLA,"PENSACOLA - 115NM SSE of Pensacola, FL"
"42040 - LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL",GULF OF MEXICO,42040,LUKE OFFSHORE TEST PLATFORM,"LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL"
"42041 - North Mid Gulf 110NM South of Grand Isle, LA",GULF OF MEXICO,42041,"North Mid Gulf 110NM South of Grand Isle, LA","North Mid Gulf 110NM South of Grand Isle, LA"
42042 - Pascagoula,GULF OF MEXICO,42042,Pascagoula,Pascagoula
42054 - East Gulf,GULF OF MEXICO,42054,East Gulf,East Gulf
EB33,NORTH PACIFIC AND GULF OF ALASKA,EB33,,
EB35,NORTH PACIFIC AND GULF OF ALASKA,EB35,,
EB43,NORTH PACIFIC AND GULF OF ALASKA,EB43,,
EB70,NORTH PACIFIC AND GULF OF ALASKA,EB70,,
EB90 (EB02),NORTH PACIFIC AND GULF OF ALASKA,EB90 (EB02),,
"46001 - WESTERN GULF OF ALASKA - 175NM SE of Kodiak, AK",NORTH PACIFIC AND GULF OF ALASKA,46001,WESTERN GULF OF ALASKA,"WESTERN GULF OF ALASKA - 175NM SE of Kodiak, AK"
"46002 - WEST OREGON - 275NM West of Coos Bay, OR",NORTH PACIFIC AND GULF OF ALASKA,46002,WEST OREGON,"WEST OREGON - 275NM West of Coos Bay, OR"
46003 - S ALEUTIANS,NORTH PACIFIC AND GULF OF ALASKA,46003,S ALEUTIANS,S ALEUTIANS
46004 - Middle Nomad,NORTH PACIFIC AND GULF OF ALASKA,46004,Middle Nomad,Middle Nomad
"46005 - WEST WASHINGTON - 300NM West of Aberdeen, WA",NORTH PACIFIC AND GULF OF ALASKA,46005,WEST WASHINGTON,"WEST WASHINGTON - 300NM West of Aberdeen, WA"
"46006 - SOUTHEAST PAPA - 600NM West of Eureka, CA",NORTH PACIFIC AND GULF OF ALASKA,46006,SOUTHEAST PAPA,"SOUTHEAST PAPA - 600NM West of Eureka, CA"
46007,NORTH PACIFIC AND GULF OF ALASKA,46007,,
46008,NORTH PACIFIC AND GULF OF ALASKA,46008,,
46009,NORTH PACIFIC AND GULF OF ALASKA,46009,,
46010,NORTH PACIFIC AND GULF OF ALASKA,46010,,
"46011 - SANTA MARIA - 21NM NW of Point Arguello, CA",NORTH PACIFIC AND GULF OF ALASKA,46011,SANTA MARIA,"SANTA MARIA - 21NM NW of Point Arguello, CA"
"46012 - HALF MOON BAY - 24NM SSW of San Francisco, CA",NORTH PACIFIC AND GULF OF ALASKA,46012,HALF MOON BAY,"HALF MOON BAY - 24NM SSW of San Francisco, CA"
"46013 - BODEGA BAY - 48NM NW of San Francisco, CA",NORTH PACIFIC AND GULF OF ALASKA,46013,BODEGA BAY,"BODEGA BAY - 48NM NW of San Francisco, CA"
"46014 - PT ARENA - 19NM North of Point Arena, CA",NORTH PACIFIC AND GULF OF ALASKA,46014,PT ARENA,"PT ARENA - 19NM North of Point Arena, CA"
"46015 - PORT ORFORD - 15 NM West of Port Orford, OR",NORTH PACIFIC AND GULF OF ALASKA,46015,PORT ORFORD,"PORT ORFORD - 15 NM West of Port Orford, OR"
46016,NORTH PACIFIC AND GULF OF ALASKA,46016,,
46017,NORTH PACIFIC AND GULF OF ALASKA,46017,,
46018,NORTH PACIFIC AND GULF OF ALASKA,46018,,
46019,NORTH PACIFIC AND GULF OF ALASKA,46019,,
46020,NORTH PACIFIC AND GULF OF ALASKA,46020,,
46021,NORTH PACIFIC AND GULF OF ALASKA,46021,,
"46022 - EEL RIVER - 17NM WSW of Eureka, CA",NORTH PACIFIC AND GULF OF ALASKA,46022,EEL RIVER,"EEL RIVER - 17NM WSW of Eureka, CA"
"46023 - PT ARGUELLO - 17NM WNW of Point Arguello, CA",NORTH PACIFIC AND GULF OF ALASKA,46023,PT ARGUELLO,"PT ARGUELLO - 17NM WNW of Point Arguello, CA"
46024,NORTH PACIFIC AND GULF OF ALASKA,46024,,
"46025 - Santa Monica Basin - 33NM WSW of Santa Monica, CA",NORTH PACIFIC AND GULF OF ALASKA,46025,Santa Monica Basin,"Santa Monica Basin - 33NM WSW of Santa Monica, CA"
"46026 - SAN FRANCISCO - 18NM West of San Francisco, CA",NORTH PACIFIC AND GULF OF ALASKA,46026,SAN FRANCISCO,"SAN FRANCISCO - 18NM West of San Francisco, CA"
"46027 - ST GEORGES - 8NM NW of Crescent City, CA",NORTH PACIFIC AND GULF OF ALASKA,46027,ST GEORGES,"ST GEORGES - 8NM NW of Crescent City, CA"
"46028 - CAPE SAN MARTIN - 55NM West NW of Morro Bay, CA",NORTH PACIFIC AND GULF OF ALASKA,46028,CAPE SAN MARTIN,"CAPE SAN MARTIN - 55NM West NW of Morro Bay, CA"
46029 - COLUMBIA RIVER BAR - 20NM West of Columbia River Mouth,NORTH PACIFIC AND GULF OF ALASKA,46029,COLUMBIA RIVER BAR,COLUMBIA RIVER BAR - 20NM West of Columbia River Mouth
46030 - BLUNTS REEF,NORTH PACIFIC AND GULF OF ALASKA,46030,BLUNTS REEF,BLUNTS REEF
46031,NORTH PACIFIC AND GULF OF ALASKA,46031,,
46032,NORTH PACIFIC AND GULF OF ALASKA,46032,,
46033,NORTH PACIFIC AND GULF OF ALASKA,46033,,
46034,NORTH PACIFIC AND GULF OF ALASKA,46034,,
"46035 - CENTRAL BERING SEA - 310 NM North of Adak, AK",NORTH PACIFIC AND GULF OF ALASKA,46035,CENTRAL BERING SEA,"CENTRAL BERING SEA - 310 NM North of Adak, AK"
46036 - South Nomad,NORTH PACIFIC AND GULF OF ALASKA,46036,South Nomad,South Nomad
46037,NORTH PACIFIC AND GULF OF ALASKA,46037,,
46038,NORTH PACIFIC AND GULF OF ALASKA,46038,,
46039,NORTH PACIFIC AND GULF OF ALASKA,46039,,
46040,NORTH PACIFIC AND GULF OF ALASKA,46040,,
"46041 - CAPE ELIZABETH- 45NM NW of Aberdeen, WA",NORTH PACIFIC AND GULF OF ALASKA,46041,CAPE ELIZABETH,"CAPE ELIZABETH- 45NM NW of Aberdeen, WA"
"46042 - MONTEREY - 27NM WNW of Monterey, CA",NORTH PACIFIC AND GULF OF ALASKA,46042,MONTEREY,"MONTEREY - 27NM WNW of Monterey, CA"
46043,NORTH PACIFIC AND GULF OF ALASKA,46043,,
46045 - REDONDO BEACH,NORTH PACIFIC AND GULF OF ALASKA,46045,REDONDO BEACH,REDONDO BEACH
"46047 - TANNER BANK - 121NM West of San Diego, CA",NORTH PACIFIC AND GULF OF ALASKA,46047,TANNER BANK,"TANNER BANK - 121NM West of San Diego, CA"
46048,NORTH PACIFIC AND GULF OF ALASKA,46048,,
"46050 - STONEWALL BANK - 20NM West of Newport, OR",NORTH PACIFIC AND GULF OF ALASKA,46050,STONEWALL BANK,"STONEWALL BANK - 20NM West of Newport, OR"
46051 - Harvest Experiment Platform,NORTH PACIFIC AND GULF OF ALASKA,46051,Harvest Experiment Platform,Harvest Experiment Platform
"46053 - EAST SANTA BARBARA - 12NM Southwest of Santa Barbara, CA",NORTH PACIFIC AND GULF OF ALASKA,46053,EAST SANTA BARBARA,"EAST SANTA BARBARA - 12NM Southwest of Santa Barbara, CA"
"46054 - WEST SANTA BARBARA 38 NM West of Santa Barbara, CA",NORTH PACIFIC AND GULF OF ALASKA,46054,"WEST SANTA BARBARA 38 NM West of Santa Barbara, CA","WEST SANTA BARBARA 38 NM West of Santa Barbara, CA"
"46059 - WEST CALIFORNIA - 357NM West of San Francisco, CA",NORTH PACIFIC AND GULF OF ALASKA,46059,WEST CALIFORNIA,"WEST CALIFORNIA - 357NM West of San Francisco, CA"
"46060 - WEST ORCA BAY - 8NM NW of Hinchinbrook Is., AK",NORTH PACIFIC AND GULF OF ALASKA,46060,WEST ORCA BAY,"WEST ORCA BAY - 8NM NW of Hinchinbrook Is., AK"
"46061 - Seal Rocks - Between Montague and Hinchinbrook Islands, AK",NORTH PACIFIC AND GULF OF ALASKA,46061,Seal Rocks,"Seal Rocks - Between Montague and Hinchinbrook Islands, AK"
"46062 - Pt. San Luis, CA - 18 NM South Southwest of Morro Bay, CA",NORTH PACIFIC AND GULF OF ALASKA,46062,"Pt. San Luis, CA","Pt. San Luis, CA - 18 NM South Southwest of Morro Bay, CA"
"46063 - Pt.Conception, CA - 50NM West of Santa Barbara, CA",NORTH PACIFIC AND GULF OF ALASKA,46063,"Pt.Conception, CA","Pt.Conception, CA - 50NM West of Santa Barbara, CA"
"46066 - SOUTH KODIAK - 310NM SSW of Kodiak, AK",NORTH PACIFIC AND GULF OF ALASKA,46066,SOUTH KODIAK,"SOUTH KODIAK - 310NM SSW of Kodiak, AK"
46072 - CENTRAL ALEUTIANS 230NM SW Dutch Harbor,NORTH PACIFIC AND GULF OF ALASKA,46072,CENTRAL ALEUTIANS 230NM SW Dutch Harbor,CENTRAL ALEUTIANS 230NM SW Dutch Harbor
46079 - Barren Island,NORTH PACIFIC AND GULF OF ALASKA,46079,Barren Island,Barren Island
"46080 - PORTLOCK BANK- 76NM ENE of Kodiak, AK",NORTH PACIFIC AND GULF OF ALASKA,46080,PORTLOCK BANK,"PORTLOCK BANK- 76NM ENE of Kodiak, AK"
"46082 - Cape Suckling - 35 NM SE of Kayak Is, AK",NORTH PACIFIC AND GULF OF ALASKA,46082,Cape Suckling,"Cape Suckling - 35 NM SE of Kayak Is, AK"
"46083 - Fairweather Ground 105NM West of Juneau, AK",NORTH PACIFIC AND GULF OF ALASKA,46083,"Fairweather Ground 105NM West of Juneau, AK","Fairweather Ground 105NM West of Juneau, AK"
"46084 - CAPE EDGECUMBE - 25NM SSW of Cape Edgecumbe, AK",NORTH PACIFIC AND GULF OF ALASKA,46084,CAPE EDGECUMBE,"CAPE EDGECUMBE - 25NM SSW of Cape Edgecumbe, AK"
51001 - NORTHWESTERN HAWAII ONE - 170 NM West Northwest of Kauai Island,HAWAIIAN ISLANDS,51001,NORTHWESTERN HAWAII ONE,NORTHWESTERN HAWAII ONE - 170 NM West Northwest of Kauai Island
"51002 - SOUTHWEST HAWAII - 215NM SSW of Hilo, HI",HAWAIIAN ISLANDS,51002,SOUTHWEST HAWAII,"SOUTHWEST HAWAII - 215NM SSW of Hilo, HI"
"51003 - WESTERN HAWAII - 205 NM SW of Honolulu, HI",HAWAIIAN ISLANDS,51003,WESTERN HAWAII,"WESTERN HAWAII - 205 NM SW of Honolulu, HI"
"51004 - SOUTHEAST HAWAII - 205 NM Southeast of Hilo, HI",HAWAIIAN ISLANDS,51004,SOUTHEAST HAWAII,"SOUTHEAST HAWAII - 205 NM Southeast of Hilo, HI"
51005,HAWAIIAN ISLANDS,51005,,
51026 - Northern Molokai,HAWAIIAN ISLANDS,51026,Northern Molokai,Northern Molokai
51027,HAWAIIAN ISLANDS,51027,,
51028 - Christmas Island,HAWAIIAN ISLANDS,51028,Christmas Island,Christmas Island
